MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
,RL,105,,Pave,NA,IR1,,AllPub,Corner,,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,,0.0,728.0,728.0,GasA,Gd,Y,SBrkr,728.0,728.0,0.0,1456.0,0.0,0.0,2.0,1.0,,1.0,TA,8.0,,0.0,NA,Attchd,2006,RFn,2.0,,,TA,Y,0.0,0.0,,0.0,0.0,0.0,NA,NA,NA,,5.0,2006.0,New,Partial,172785
50.0,RL,53,5362.0,Pave,NA,Reg,Lvl,AllPub,Corner,,,Norm,,1Fam,1.5Fin,5.0,6.0,1910.0,2003.0,,,Wd Sdng,Wd Shng,None,0,TA,TA,PConc,TA,TA,,,0.0,,,661.0,661.0,GasA,Ex,Y,SBrkr,661.0,589.0,0.0,1250.0,0.0,0.0,2.0,0.0,3.0,,TA,,Typ,1.0,Gd,,,Unf,,552.0,TA,,,242.0,,81.0,,0.0,,NA,,NA,0.0,11.0,2007.0,WD,Normal,139000
60.0,RL,80,10400.0,Pave,,,Lvl,AllPub,Inside,,,Norm,Norm,1Fam,2Story,,5.0,1972.0,1972.0,,CompShg,,,None,288,,TA,CBlock,TA,TA,No,Rec,247.0,Unf,,485.0,732.0,GasA,,,SBrkr,,778.0,0.0,1790.0,1.0,0.0,1.0,2.0,4.0,1.0,TA,8.0,Min2,1.0,TA,Attchd,1972,,,484.0,TA,TA,Y,,,0.0,0.0,,0.0,NA,NA,NA,0.0,11.0,2006.0,,Normal,165150
20.0,,80,8816.0,,NA,,Lvl,,Corner,,Sawyer,Feedr,,1Fam,1Story,5.0,6.0,1963.0,1963.0,Gable,CompShg,,VinylSd,None,0,TA,TA,PConc,,TA,No,Rec,651.0,,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121.0,,0.0,1121.0,,0.0,,,,1.0,TA,5.0,Typ,0.0,NA,,1963,Unf,2.0,480.0,,TA,Y,0.0,80.0,0.0,0.0,,0.0,NA,MnPrv,NA,,6.0,2009.0,WD,Normal,139000
,RL,57,8773.0,Pave,NA,,HLS,AllPub,Inside,,Gilbert,Norm,Norm,1Fam,,6.0,5.0,1997.0,,,CompShg,,VinylSd,,,TA,TA,PConc,Gd,,Av,Unf,0.0,,0.0,916.0,916.0,,Gd,,SBrkr,916.0,684.0,0.0,,0.0,0.0,2.0,1.0,,,TA,7.0,,1.0,TA,,,Fin,,460.0,TA,TA,Y,100.0,,0.0,0.0,0.0,,,NA,NA,0.0,8.0,,WD,Normal,169000
120.0,RL,50,,Pave,NA,,Lvl,AllPub,Inside,Gtl,SawyerW,,,TwnhsE,1Story,6.0,5.0,1980.0,1980.0,Gable,CompShg,,Plywood,None,,,TA,,,TA,No,,,BLQ,119.0,261.0,,GasA,TA,,,923.0,0.0,,923.0,0.0,,2.0,0.0,2.0,1.0,,5.0,Typ,1.0,,Attchd,1980,RFn,1.0,264.0,TA,TA,Y,80.0,0.0,,0.0,,0.0,NA,,NA,,5.0,2010.0,,,143000
85.0,,70,,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,,Norm,Norm,1Fam,SFoyer,,7.0,1972.0,2007.0,Gable,CompShg,HdBoard,Wd Shng,None,0,TA,TA,CBlock,Gd,TA,Av,GLQ,,Unf,0.0,112.0,,GasA,TA,Y,SBrkr,768.0,0.0,0.0,768.0,,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,,NA,Detchd,1988,Unf,2.0,,TA,TA,Y,58.0,,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,3.0,2009.0,WD,Normal,133000
80.0,RL,NA,,Pave,,IR1,Lvl,,Inside,Gtl,,Norm,,,SLvl,7.0,5.0,2000.0,2000.0,,CompShg,VinylSd,VinylSd,None,0,TA,,PConc,Gd,TA,No,,250.0,Unf,0.0,,,GasA,Ex,,SBrkr,774.0,,,1430.0,,0.0,2.0,1.0,3.0,1.0,TA,7.0,,,TA,,2000,,2.0,400.0,TA,TA,,180.0,,0.0,,0.0,0.0,NA,NA,NA,0.0,4.0,2010.0,,Normal,180000
90.0,RL,,9842.0,,,Reg,,AllPub,FR2,Gtl,NAmes,,Norm,,1Story,,5.0,1962.0,1962.0,Gable,,,,None,0,,TA,Slab,NA,NA,,NA,,NA,0.0,0.0,0.0,,TA,Y,SBrkr,,0.0,0.0,1224.0,0.0,,2.0,0.0,2.0,2.0,TA,6.0,Typ,0.0,NA,CarPort,1962,Unf,2.0,462.0,,TA,Y,0.0,,0.0,0.0,0.0,0.0,NA,NA,,0.0,,2007.0,WD,Normal,101800
,RL,96,11308.0,,NA,IR1,Lvl,,Inside,Gtl,NridgHt,Norm,Norm,1Fam,,9.0,5.0,2008.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,154,Ex,,PConc,Ex,,Av,GLQ,936.0,Unf,,168.0,,,Ex,Y,SBrkr,1130.0,1054.0,0.0,,1.0,0.0,2.0,,,1.0,Ex,10.0,,1.0,,,2008,Fin,3.0,,TA,TA,Y,,102.0,0.0,0.0,0.0,0.0,,NA,NA,0.0,7.0,,WD,Normal,335000
30.0,RM,,4118.0,Pave,,IR1,Bnk,AllPub,Corner,Mod,OldTown,Feedr,,1Fam,1Story,4.0,4.0,1941.0,1950.0,Gable,,,Wd Sdng,,0,TA,TA,CBlock,TA,TA,No,,0.0,Unf,0.0,693.0,693.0,Grav,Fa,N,FuseA,693.0,,0.0,693.0,,0.0,1.0,0.0,2.0,,Fa,4.0,Typ,0.0,NA,NA,NA,NA,0.0,0.0,NA,,N,0.0,20.0,,0.0,0.0,0.0,NA,NA,,0.0,3.0,2006.0,WD,Normal,52500
90.0,,110,,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5.0,5.0,1963.0,1963.0,Gable,,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,,TA,,LwQ,104.0,GLQ,712.0,0.0,816.0,GasA,,N,SBrkr,816.0,0.0,,,1.0,0.0,,,2.0,1.0,TA,,Typ,0.0,NA,CarPort,1963,,2.0,516.0,TA,,Y,106.0,0.0,,0.0,0.0,0.0,NA,NA,,0.0,,,,Normal,110000
20.0,RL,,,Pave,,,Lvl,AllPub,,Gtl,,Norm,Norm,1Fam,1Story,6.0,5.0,,1977.0,Gable,CompShg,,Plywood,BrkFace,,,,CBlock,TA,TA,No,Unf,0.0,Unf,,660.0,660.0,GasA,,,SBrkr,,0.0,0.0,1285.0,0.0,,1.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1977,RFn,,528.0,TA,TA,Y,138.0,0.0,0.0,0.0,0.0,,NA,MnPrv,NA,0.0,4.0,2007.0,WD,Normal,143500
20.0,RL,90,11694.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9.0,5.0,,,Hip,CompShg,CemntBd,CmentBd,BrkFace,452,Ex,TA,,,TA,Av,GLQ,48.0,Unf,0.0,1774.0,1822.0,GasA,Ex,Y,SBrkr,1828.0,0.0,,1828.0,0.0,0.0,2.0,0.0,3.0,,,9.0,Typ,1.0,Gd,Attchd,2007,,3.0,,TA,TA,Y,0.0,108.0,0.0,0.0,260.0,0.0,,NA,NA,,7.0,,New,Partial,314813
,RL,75,11625.0,Pave,NA,Reg,Lvl,AllPub,Inside,,Sawyer,Norm,Norm,2fmCon,,5.0,,1965.0,1965.0,Hip,CompShg,Plywood,,None,0,TA,TA,,,TA,Mn,BLQ,841.0,Unf,0.0,198.0,1039.0,GasA,,Y,SBrkr,,0.0,0.0,1039.0,1.0,,1.0,,,1.0,TA,6.0,Typ,0.0,NA,Attchd,1965,Unf,2.0,,TA,TA,Y,,0.0,0.0,,0.0,0.0,NA,NA,NA,,4.0,2010.0,WD,Normal,131500
50.0,RL,60,9060.0,,NA,,,AllPub,Inside,Gtl,Edwards,,Norm,1Fam,1.5Fin,6.0,5.0,1939.0,1950.0,Gable,CompShg,WdShing,Wd Shng,,0,,TA,BrkTil,TA,TA,Mn,,204.0,Unf,0.0,,560.0,GasA,TA,Y,SBrkr,698.0,560.0,0.0,,0.0,,,0.0,2.0,1.0,TA,,Typ,0.0,NA,Detchd,1939,Unf,1.0,280.0,,TA,P,0.0,0.0,0.0,0.0,0.0,,NA,,NA,0.0,10.0,,,,105000
120.0,RM,64,5587.0,Pave,NA,IR1,HLS,AllPub,Inside,,Crawfor,Norm,Norm,,1Story,,,2008.0,2008.0,Hip,,,CmentBd,,186,,,PConc,Ex,TA,,GLQ,1480.0,Unf,,120.0,1600.0,GasA,Ex,Y,SBrkr,1652.0,0.0,0.0,1652.0,1.0,,2.0,,2.0,1.0,,5.0,Typ,1.0,,,2008,Fin,2.0,482.0,,TA,,,53.0,0.0,153.0,0.0,0.0,NA,NA,NA,0.0,11.0,2008.0,New,Partial,392500
